id,name,type1,type2,Japanese Kana
636,Larvesta,Bug,Fire,メラルバ
637,Volcarona,Bug,Fire,ウルガモス
638,Cobalion,Steel,Fighting,コバルオン
639,Terrakion,Rock,Fighting,テラキオン
640,Virizion,Grass,Fighting,ビリジオン
641,Tornadus,Flying,,トルネロス
642,Thundurus,Electric,Flying,ボルトロス
643,Reshiram,Dragon,Fire,レシラム
644,Zekrom,Dragon,Electric,ゼクロム
645,Landorus,Ground,Flying,ランドロス
646,Kyurem,Dragon,Ice,キュレム
647,Keldeo,Water,Fighting,ケルディオ
648,Meloetta,Normal,Psychic,メロエッタ
649,Genesect,Bug,Steel,ゲノセクト
650,Chespin,Grass,,ハリマロン
651,Quilladin,Grass,,ハリボーグ
652,Chesnaught,Grass,Fighting,ブリガロン
653,Fennekin,Fire,,フォッコ
654,Braixen,Fire,,テールナー
655,Delphox,Fire,Psychic,マフォクシー
656,Froakie,Water,,ケロマツ
657,Frogadier,Water,,ゲコガシラ
658,Greninja,Water,Dark,ゲッコウガ
659,Bunnelby,Normal,,ホルビー
660,Diggersby,Normal,Ground,ホルード
661,Fletchling,Normal,Flying,ヤヤコマ
662,Fletchinder,Fire,Flying,ヒノヤコマ
663,Talonflame,Fire,Flying,ファイアロー
664,Scatterbug,Bug,,コフキムシ
665,Spewpa,Bug,,コフーライ
666,Vivillon,Bug,Flying,ビビヨン
667,Litleo,Fire,Normal,シシコ
668,Pyroar,Fire,Normal,カエンジシ
668,Pyroar,Fire,Normal,カエンジシ
669,Flabébé,Fairy,,フラベベ
670,Floette,Fairy,,フラエッテ
670,Floette-Eternal,Fairy,,フラエッテ
671,Florges,Fairy,,フラージェス
672,Skiddo,Grass,,メェークル
673,Gogoat,Grass,,ゴーゴート
674,Pancham,Fighting,,ヤンチャム
675,Pangoro,Fighting,Dark,ゴロンダ
676,Furfrou,Normal,,トリミアン
677,Espurr,Psychic,,ニャスパー
678,Meowstic,Psychic,,ニャオニクス
679,Honedge,Steel,Ghost,ヒトツキ
680,Doublade,Steel,Ghost,ニダンギル
681,Aegislash,Steel,Ghost,ギルガルド
682,Spritzee,Fairy,,シュシュプ
683,Aromatisse,Fairy,,フレフワン
684,Swirlix,Fairy,,ペロッパフ
685,Slurpuff,Fairy,,ペロリーム
686,Inkay,Dark,Psychic,マーイーカ
687,Malamar,Dark,Psychic,カラマネロ
688,Binacle,Rock,Water,カメテテ
689,Barbaracle,Rock,Water,ガメノデス
690,Skrelp,Poison,Water,クズモー
691,Dragalge,Poison,Dragon,ドラミドロ
692,Clauncher,Water,,ウデッポウ
693,Clawitzer,Water,,ブロスター
694,Helioptile,Electric,Normal,エリキテル
695,Heliolisk,Electric,Normal,エレザード
696,Tyrunt,Rock,Dragon,チゴラス
697,Tyrantrum,Rock,Dragon,ガチゴラス
698,Amaura,Rock,Ice,アマルス
699,Aurorus,Rock,Ice,アマルルガ
700,Sylveon,Fairy,,ニンフィア
701,Hawlucha,Fighting,Flying,ルチャブル
702,Dedenne,Electric,Fairy,デデンネ
703,Carbink,Rock,Fairy,メレシー
704,Goomy,Dragon,,ヌメラ
705,Sliggoo,Dragon,,ヌメイル
706,Goodra,Dragon,,ヌメルゴン
707,Klefki,Steel,Fairy,クレッフィ
708,Phantump,Ghost,Grass,ボクレー
709,Trevenant,Ghost,Grass,オーロット
710,Pumpkaboo,Ghost,Grass,バケッチャ
710,Pumpkaboo,Ghost,Grass,バケッチャ
710,Pumpkaboo,Ghost,Grass,バケッチャ
710,Pumpkaboo,Ghost,Grass,バケッチャ
711,Gourgeist,Ghost,Grass,パンプジン
711,Gourgeist,Ghost,Grass,パンプジン
711,Gourgeist,Ghost,Grass,パンプジン
711,Gourgeist,Ghost,Grass,パンプジン
712,Bergmite,Ice,,カチコール
713,Avalugg,Ice,,クレベース
714,Noibat,Flying,Dragon,オンバット
715,Noivern,Flying,Dragon,オンバーン
716,Xerneas,Fairy,,ゼルネアス
717,Yveltal,Dark,Flying,イベルタル
718,Zygarde,Dragon,Ground,ジガルデ
719,Diancie,Rock,Fairy,ディアンシー
720,Hoopa,Psychic,Ghost,フーパ
721,Volcanion,Fire,Water,ボルケニオン
722,Rowlet,Grass,Flying,モクロー
723,Dartrix,Grass,Flying,フクスロー
724,Decidueye,Grass,Ghost,ジュナイパー
725,Litten,Fire,,ニャビー
726,Torracat,Fire,,ニャヒート
727,Incineroar,Fire,Dark,ガオガエン
728,Popplio,Water,,アシマリ
729,Brionne,Water,,オシャマリ
730,Primarina,Water,Fairy,アシレーヌ
731,Pikipek,Normal,Flying,ツツケラ
732,Trumbeak,Normal,Flying,ケララッパ
733,Toucannon,Normal,Flying,ドデカバシ
734,Yungoos,Normal,,ヤングース
735,Gumshoos,Normal,,デカグース
736,Grubbin,Bug,,アゴジムシ
737,Charjabug,Bug,Electric,デンヂムシ
738,Vikavolt,Bug,Electric,クワガノン
739,Crabrawler,Fighting,,マケンカニ
740,Crabominable,Fighting,Ice,ケケンカニ
741,Oricorio,Fire,Flying,オドリドリ
742,Cutiefly,Bug,Fairy,アブリー
743,Ribombee,Bug,Fairy,アブリボン
744,Rockruff,Rock,,イワンコ
745,Lycanroc,Rock,,ルガルガン
746,Wishiwashi,Water,,ヨワシ
747,Mareanie,Poison,Water,ヒドイデ
748,Toxapex,Poison,Water,ドヒドイデ
749,Mudbray,Ground,,ドロバンコ
750,Mudsdale,Ground,,バンバドロ
751,Dewpider,Water,Bug,シズクモ
752,Araquanid,Water,Bug,オニシズクモ
753,Fomantis,Grass,,カリキリ
754,Lurantis,Grass,Fighting,ラランテス
755,Morelull,Grass,Fairy,ネマシュ
756,Shiinotic,Grass,Fairy,マシェード
757,Salandit,Poison,Fire,ヤトウモリ
758,Salazzle,Poison,Fire,エンニュート
759,Stufful,Normal,Fighting,ヌイコグマ
760,Bewear,Normal,Fighting,キテルグマ
761,Bounsweet,Grass,,アマカジ
762,Steenee,Grass,,アママイコ
763,Tsareena,Grass,,アマージョ
764,Comfey,Fairy,,キュワワー
765,Oranguru,Normal,Psychic,ヤレユータン
766,Passimian,Fighting,,ナゲツケサル
767,Wimpod,Bug,Water,コソクムシ
768,Golisopod,Bug,Water,グソクムシャ
769,Sandygast,Ghost,Ground,スナバァ
770,Palossand,Ghost,Ground,シロデスナ
771,Pyukumuku,Water,,ナマコブシ
772,Type: Null,Normal,,タイプ：ヌル
773,Silvally,Normal,,シルヴァディ
774,Minior,Rock,Flying,メテノ
775,Komala,Normal,,ネッコアラ
776,Turtonator,Fire,Dragon,バクガメス
777,Togedemaru,Electric,Steel,トゲデマル
778,Mimikyu,Ghost,Fairy,ミミッキュ
779,Bruxish,Water,Psychic,ハギギシリ
780,Drampa,Normal,Dragon,ジジーロン
781,Dhelmise,Ghost,Grass,ダダリン
782,Jangmo-o,Dragon,,ジャラコ
783,Hakamo-o,Dragon,Fighting,ジャランゴ
784,Kommo-o,Dragon,Fighting,ジャラランガ
785,Tapu Koko,Electric,Fairy,カプ・コケコ
786,Tapu Lele,Psychic,Fairy,カプ・テテフ
787,Tapu Bulu,Grass,Fairy,カプ・ブルル
788,Tapu Fini,Water,Fairy,カプ・レヒレ
789,Cosmog,Psychic,,コスモッグ
790,Cosmoem,Psychic,,コスモウム
791,Solgaleo,Psychic,Steel,ソルガレオ
792,Lunala,Psychic,Ghost,ルナアーラ
793,Nihilego,Rock,Poison,ウツロイド
794,Buzzwole,Bug,Fighting,マッシブーン
795,Pheromosa,Bug,Fighting,フェローチェ
796,Xurkitree,Electric,,デンジュモク
797,Celesteela,Steel,Flying,テッカグヤ
798,Kartana,Grass,Steel,カミツルギ
799,Guzzlord,Dark,Dragon,アクジキング
800,Necrozma,Psychic,,ネクロズマ
801,Magearna,Steel,Fairy,マギアナ
801,Magearna,Steel,Fairy,マギアナ
802,Marshadow,Fighting,Ghost,マーシャドー
803,Poipole,Poison,,ベベノム
804,Naganadel,Poison,Dragon,アーゴヨン
805,Stakataka,Rock,Steel,ツンデツンデ
806,Blacephalon,Fire,Ghost,ズガドーン
807,Zeraora,Electric,,ゼラオラ
808,Meltan,Steel,,メルタン
809,Melmetal,Steel,,メルメタル
810,Grookey,Grass,,サルノリ
811,Thwackey,Grass,,バチンキー
812,Rillaboom,Grass,,ゴリランダー
813,Scorbunny,Fire,,ヒバニー
814,Raboot,Fire,,ラビフット
815,Cinderace,Fire,,エースバーン
816,Sobble,Water,,メッソン
817,Drizzile,Water,,ジメレオン
818,Inteleon,Water,,インテレオン
819,Skwovet,Normal,,ホシガリス
820,Greedent,Normal,,ヨクバリス
821,Rookidee,Flying,,ココガラ
822,Corvisquire,Flying,,アオガラス
823,Corviknight,Flying,Steel,アーマーガア
824,Blipbug,Bug,,サッチムシ
825,Dottler,Bug,Psychic,レドームシ
826,Orbeetle,Bug,Psychic,イオルブ
827,Nickit,Dark,,クスネ
828,Thievul,Dark,,フォクスライ
829,Gossifleur,Grass,,ヒメンカ
830,Eldegoss,Grass,,ワタシラガ
831,Wooloo,Normal,,ウールー
832,Dubwool,Normal,,バイウールー
833,Chewtle,Water,,カムカメ
834,Drednaw,Water,Rock,カジリガメ
835,Yamper,Electric,,ワンパチ
836,Boltund,Electric,,パルスワン
837,Rolycoly,Rock,,タンドン
838,Carkol,Rock,Fire,トロッゴン
839,Coalossal,Rock,Fire,セキタンザン
840,Applin,Grass,Dragon,カジッチュ
841,Flapple,Grass,Dragon,アップリュー
842,Appletun,Grass,Dragon,タルップル
843,Silicobra,Ground,,スナヘビ
844,Sandaconda,Ground,,サダイジャ
845,Cramorant,Flying,Water,ウッウ
846,Arrokuda,Water,,サシカマス
847,Barraskewda,Water,,カマスジョー
848,Toxel,Electric,Poison,エレズン
849,Toxtricity,Electric,Poison,ストリンダー
850,Sizzlipede,Fire,Bug,ヤクデ
851,Centiskorch,Fire,Bug,マルヤクデ
852,Clobbopus,Fighting,Water,タタッコ
853,Grapploct,Fighting,Water,オトスパス
854,Sinistea,Ghost,,ヤバチャ
855,Polteageist,Ghost,,ポットデス
856,Hatenna,Psychic,,ミブリム
857,Hattrem,Psychic,,テブリム
858,Hatterene,Psychic,Fairy,ブリムオン
859,Impidimp,Dark,Fairy,ベロバー
860,Morgrem,Dark,Fairy,ギモー
861,Grimmsnarl,Dark,Fairy,オーロンゲ
862,Obstagoon,Dark,Normal,タチフサグマ
863,Perrserker,Steel,,ニャイキング
864,Cursola,Ghost,,サニゴーン
865,Sirfetch’d,Fighting,,ネギガナイト
866,Mr. Rime,Ice,Psychic,バリコオル
867,Runerigus,Ground,Ghost,デスバーン
868,Milcery,Fairy,,マホミル
869,Alcremie,Fairy,,マホイップ
870,Falinks,Fighting,Bug,タイレーツ
871,Pincurchin,Electric,Water,バチンウニ
872,Snom,Ice,Bug,ユキハミ
873,Frosmoth,Ice,Bug,モスノウ
874,Stonjourner,Rock,,イシヘンジン
875,Eiscue,Ice,,コオリッポ
876,Indeedee,Psychic,Normal,イエッサン
877,Morpeko,Electric,Dark,モルペコ
878,Cufant,Steel,,ゾウドウ
879,Copperajah,Steel,,ダイオウドウ
880,Dracozolt,Electric,Dragon,パッチラゴン
881,Arctozolt,Electric,Ice,パッチルドン
882,Dracovish,Water,Dragon,ウオノラゴン
883,Arctovish,Water,Ice,ウオチルドン
884,Duraludon,Steel,Dragon,ジュラルドン
885,Dreepy,Dragon,Ghost,ドラメシヤ
886,Drakloak,Dragon,Ghost,ドロンチ
887,Dragapult,Dragon,Ghost,ドラパルト
888,Zacian,Fairy,,ザシアン
889,Zamazenta,Fighting,,ザマゼンタ
890,Eternatus,Poison,Dragon,ムゲンダイナ
891,Kubfu,Fighting,,ダクマ
892,Urshifu,Fighting,Dark,ウーラオス
893,Zarude,Dark,Grass,ザルード
894,Regieleki,Electric,,レジエレキ
895,Regidrago,Dragon,,レジドラゴ
896,Glastrier,Ice,,ブリザポス
897,Spectrier,Ghost,,レイスポス
898,Calyrex,Psychic,Grass,バドレックス
899,Wyrdeer,Normal,Psychic,アヤシシ
900,Kleavor,Bug,Rock,バサギリ
901,Ursaluna,Normal,Ground,ガチグマ
902,Basculegion,Water,Ghost,イダイトウ
903,Sneasler,Poison,Fighting,オオニューラ
904,Overqwil,Dark,Poison,ハリーマン
905,Enamorus,Fairy,Flying,ラブトロス
906,Sprigatito,Grass,,ニャオハ
907,Floragato,Grass,,ニャローテ
908,Meowscarada,Grass,Dark,マスカーニャ
909,Fuecoco,Fire,,ホゲータ
910,Crocalor,Fire,,アチゲータ
911,Skeledirge,Fire,Ghost,ラウドボーン
912,Quaxly,Water,,クワッス
913,Quaxwell,Water,,ウェルカモ
914,Quaquaval,Water,Fighting,ウェーニバル
915,Lechonk,Normal,,グルトン
916,Oinkologne,Normal,,パフュートン
917,Tarountula,Bug,,タマンチュラ
918,Spidops,Bug,,ワナイダー
919,Nymble,Bug,,マメバッタ
920,Lokix,Bug,Dark,エクスレッグ
921,Pawmi,Electric,,パモ
922,Pawmo,Electric,Fighting,パモット
923,Pawmot,Electric,Fighting,パーモット
924,Tandemaus,Normal,,ワッカネズミ
925,Maushold,Normal,,イッカネズミ
926,Fidough,Fairy,,パピモッチ
927,Dachsbun,Fairy,,バウッツェル
928,Smoliv,Grass,Normal,ミニーブ
929,Dolliv,Grass,Normal,オリーニョ
930,Arboliva,Grass,Normal,オリーヴァ
931,Squawkabilly,Normal,Flying,イキリンコ
932,Nacli,Rock,,コジオ
933,Naclstack,Rock,,ジオヅム
934,Garganacl,Rock,,キョジオーン
935,Charcadet,Fire,,カルボウ
936,Armarouge,Fire,Psychic,グレンアルマ
937,Ceruledge,Fire,Ghost,ソウブレイズ
938,Tadbulb,Electric,,ズピカ
939,Bellibolt,Electric,,ハラバリー
940,Wattrel,Flying,Electric,カイデン
941,Kilowattrel,Flying,Electric,タイカイデン
942,Maschiff,Dark,,オラチフ
943,Mabosstiff,Dark,,マフィティフ
944,Shroodle,Poison,Normal,シルシュルー
945,Grafaiai,Poison,Normal,タギングル
946,Bramblin,Grass,Ghost,アノクサ
947,Brambleghast,Grass,Ghost,アノホラグサ
948,Toedscool,Ground,Grass,ノノクラゲ
949,Toedscruel,Ground,Grass,リククラゲ
950,Klawf,Rock,,ガケガニ
951,Capsakid,Grass,,カプサイジ
952,Scovillain,Grass,Fire,スコヴィラン
953,Rellor,Bug,,シガロコ
954,Rabsca,Bug,Psychic,ベラカス
955,Flittle,Psychic,,ヒラヒナ
956,Espathra,Psychic,,クエスパトラ
957,Tinkatink,Fairy,Steel,カヌチャン
958,Tinkatuff,Fairy,Steel,ナカヌチャン
959,Tinkaton,Fairy,Steel,デカヌチャン
960,Wiglett,Water,,ウミディグダ
961,Wugtrio,Water,,ウミトリオ
962,Bombirdier,Flying,Dark,オトシドリ
963,Finizen,Water,,ナミイルカ
964,Palafin,Water,,イルカマン
965,Varoom,Poison,Steel,ブロロン
966,Revavroom,Poison,Steel,ブロロローム
967,Cyclizar,Dragon,Normal,モトトカゲ
968,Orthworm,Steel,,ミミズズ
969,Glimmet,Poison,Rock,キラーメ
970,Glimmora,Poison,Rock,キラフロル
971,Greavard,Ghost,,ボチ
972,Houndstone,Ghost,,ハカドッグ
973,Flamigo,Flying,Fighting,カラミンゴ
974,Cetoddle,Ice,,アルクジラ
975,Cetitan,Ice,,ハルクジラ
976,Veluza,Water,Psychic,ミガルーサ
977,Dondozo,Water,,ヘイラッシャ
978,Tatsugiri,Dragon,Water,シャリタツ
979,Annihilape,Fighting,Ghost,コノヨザル
980,Clodsire,Poison,Ground,ドオー
981,Farigiraf,Normal,Psychic,リキキリン
982,Dudunsparce,Normal,,ノココッチ
983,Kingambit,Dark,Steel,ドドゲザン
984,Great Tusk,Ground,Fighting,イダイナキバ
985,Screamtail,Fairy,Psychic,サケブシッポ
986,Brute Bonnet,Grass,Dark,アラブルタケ
987,Flutter Mane,Ghost,Fairy,ハバタクカミ
988,Slither Wing,Bug,Fighting,チヲハウハネ
989,Sandy Shocks,Electric,Ground,スナノケガワ
990,Iron Treads,Ground,Steel,テツノワダチ
991,Iron Bundle,Water,Ice,テツノツツミ
992,Iron Hands,Fighting,Electric,テツノカイナ
993,Iron Jugulis,Dark,Flying,テツノコウベ
994,Iron Moth,Fire,Poison,テツノドクガ
995,Iron Thorns,Rock,Electric,テツノイバラ
996,Frigibax,Dragon,Ice,セビエ
997,Arctibax,Dragon,Ice,セゴール
998,Baxcalibur,Dragon,Ice,セグレイブ
999,Gimmighoul,Ghost,,コレクレー
1000,Gholdengo,Ghost,Steel,サーフゴー
1001,Wo-Chien,Dark,Grass,チオンジェン
1002,Chien-Pao,Dark,Ice,パオジアン
1003,Ting-Lu,Dark,Ground,ディンルー
1004,Chi-Yu,Dark,Fire,イーユイ
1005,Roaring Moon,Dragon,Dark,トドロクツキ
1006,Iron Valiant,Fairy,Fighting,テツノブジン
1007,Koraidon,Fighting,Dragon,コライドン
1008,Miraidon,Electric,Dragon,ミライドン
1009,Walking Wake,Water,Dragon,ウネルミナモ
1010,Iron Leaves,Grass,Psychic,テツノイサハ
1011,Dipplin,Grass,Dragon,カミッチュ
1012,Poltchageist,Ghost,Grass,チャデス
1013,Sinistcha,Ghost,Grass,ヤバソチャ
1014,Okidogi,Poison,Fighting,イイネイヌ
1015,Munkidori,Poison,Psychic,マシマシラ
1016,Fezandipiti,Poison,Fairy,キチキギス
1017,Ogerpon,Grass,,オーガポン
1018,Archaludon,Steel,Dragon,ブリジュラス
1019,Hydrapple,Grass,Dragon,カミツオロチ
1020,Gouging Fire,Fire,Dragon,ウガツホムラ
1021,Raging Bolt,Electric,Dragon,タケルライコ
1022,Iron Boulder,Rock,Psychic,テツノイワオ
1023,Iron Crown,Steel,Psychic,テツノカシラ
1024,Terapagos-Terastal,Normal,,テラパゴス
1025,Pecharunt,Poison,Ghost,モモワロウ
2001,Chillet,Ice,Dragon,オコチョ
